white,black,asian,other,hs,assoc,bach,post-bach,age,income,owner occ,renter occ,vacancy,year built,house value
4.0,93.81,0.0,0.1,17.58,0.0,16.48,6.39,29.9,24198.0,70.77,29.23,15.89,1977.0,100300.0
22.48,74.74,0.1,0.1,28.23,0.0,9.65,1.85,38.2,28958.0,67.08,32.92,4.83,1971.0,94800.0
39.98,58.2,0.17,0.08,24.09,2.9,6.46,9.19,34.2,65682.0,78.67,21.33,18.87,1964.0,102900.0
3.53,94.3,0.0,0.81,22.9,0.72,13.03,1.45,35.5,28387.0,76.41,23.59,13.14,1974.0,87700.0
28.57,68.26,0.1,0.77,35.19,0.29,0.67,0.0,27.8,51420.0,64.05,35.95,12.44,1973.0,123300.0
17.35,78.93,0.61,2.03,28.97,1.28,6.21,1.35,29.6,35980.0,70.27,29.73,0.0,1979.0,96200.0
26.13,72.06,0.18,0.18,26.31,0.0,5.43,2.84,38.2,26750.0,52.41,47.59,9.67,1971.0,110600.0
25.23,73.74,0.0,0.09,22.43,4.49,1.03,3.27,31.8,50459.0,57.11,42.89,8.89,1968.0,134700.0
18.9,80.18,0.11,0.06,16.68,2.63,16.85,8.11,36.9,54405.0,96.23,3.77,6.62,1977.0,155600.0
11.48,86.61,0.13,0.13,28.7,0.0,7.4,4.72,29.6,51071.0,52.15,47.85,15.6,1976.0,127500.0
15.96,81.92,0.36,0.58,20.32,0.85,5.58,1.84,31.1,28732.0,54.12,45.88,13.63,1983.0,94200.0
75.95,21.97,0.56,0.17,30.21,5.21,7.74,4.93,38.4,70996.0,92.87,7.13,16.75,1987.0,137200.0
96.81,2.15,0.22,0.06,41.5,1.6,8.97,4.57,46.1,59688.0,88.61,11.39,1.72,1983.0,195000.0
80.75,17.19,0.68,0.34,32.62,4.02,8.0,1.18,37.9,58529.0,80.33,19.67,6.94,1984.0,171400.0
96.78,1.61,0.17,0.28,27.26,2.11,7.94,3.39,42.5,70804.0,95.22,4.78,0.0,1983.0,156500.0
94.93,1.27,0.36,0.6,30.9,2.41,12.91,3.8,41.7,78833.0,85.17,14.83,5.01,1981.0,175000.0
94.19,3.86,0.52,0.33,23.92,5.62,8.15,2.1,43.5,54258.0,95.67,4.33,12.98,1980.0,171200.0
93.27,3.71,0.48,0.55,30.61,0.62,8.17,1.92,46.6,73225.0,77.5,22.5,0.0,1982.0,208400.0
85.48,11.04,0.96,1.04,29.41,3.48,10.37,5.33,40.3,67159.0,77.22,22.78,8.19,1978.0,140500.0
78.0,20.36,0.82,0.1,22.36,4.36,20.15,9.28,46.3,86845.0,97.91,2.09,0.0,1981.0,245700.0
93.06,4.34,0.53,1.0,9.07,7.67,10.27,2.27,30.8,101681.0,95.68,4.32,0.0,1986.0,164500.0
87.33,8.59,1.4,0.59,31.35,8.96,13.69,6.07,38.4,52877.0,84.07,15.93,0.0,1982.0,171300.0
79.2,17.42,0.56,0.65,23.22,3.98,7.65,3.07,30.6,55300.0,56.91,43.09,8.51,1986.0,168600.0
92.75,6.66,0.06,0.0,28.24,4.28,11.41,5.53,42.1,81250.0,100.0,0.0,9.62,1987.0,225500.0
89.78,7.59,0.68,0.58,20.93,2.43,9.74,1.46,40.8,67891.0,88.28,11.72,0.0,1982.0,247100.0
94.69,3.71,0.42,0.08,27.3,3.2,18.53,12.3,45.0,91198.0,99.6,0.4,0.0,1978.0,147800.0
90.6,7.15,1.06,0.26,23.71,3.71,6.09,3.44,40.3,55323.0,92.01,7.99,4.8,1974.0,148700.0
24.46,70.88,0.36,2.03,9.07,5.13,7.88,0.0,28.1,45488.0,81.63,18.37,26.5,1973.0,117100.0
37.87,52.99,2.99,3.05,21.28,5.43,13.41,4.88,34.6,51063.0,68.3,31.7,11.87,1976.0,131600.0
63.96,27.68,0.87,5.91,31.07,0.0,9.15,5.91,36.4,45819.0,97.55,2.45,6.63,1966.0,132800.0
46.55,37.1,3.45,9.92,20.48,2.28,7.91,3.26,32.8,26905.0,49.74,50.26,0.0,1974.0,128100.0
22.26,59.36,10.96,5.38,16.0,0.34,23.14,6.88,28.9,76250.0,57.35,42.65,15.24,1979.0,177400.0
66.51,18.77,6.37,5.06,19.42,6.42,20.84,3.09,39.3,46034.0,84.07,15.93,0.0,1995.0,135000.0
60.78,30.86,4.39,2.56,11.96,2.72,13.73,7.26,37.6,71213.0,84.57,15.43,12.81,1985.0,165200.0
51.39,35.92,7.15,3.48,17.48,8.87,14.71,6.35,31.7,53690.0,80.9,19.1,18.44,1986.0,153700.0
61.37,25.88,7.2,2.9,7.2,3.67,21.08,14.94,31.9,98720.0,72.71,27.29,6.23,2002.0,301000.0
26.47,66.07,2.37,2.54,12.82,2.78,9.18,1.51,24.9,27103.0,33.02,66.98,0.0,1996.0,133400.0
64.53,28.87,3.4,1.61,16.7,3.26,25.1,7.99,35.4,76154.0,79.88,20.12,7.1,1984.0,176300.0
85.71,8.13,4.33,0.66,17.82,3.93,30.67,5.24,43.8,80333.0,90.71,9.29,0.0,1993.0,240500.0
77.12,17.64,2.39,1.25,10.96,4.64,22.67,8.43,34.2,73155.0,61.07,38.93,0.0,1985.0,188600.0
86.74,8.74,2.73,0.23,9.59,2.03,28.08,12.79,40.2,106835.0,97.37,2.63,5.0,1978.0,196700.0
92.5,3.8,2.44,0.32,11.48,2.03,27.16,4.34,48.5,123229.0,100.0,0.0,1.42,1987.0,351500.0
87.31,9.79,0.29,1.07,16.86,3.0,24.9,3.49,39.0,113661.0,100.0,0.0,0.0,1982.0,199700.0
78.89,13.84,3.99,0.67,13.09,3.28,16.92,18.79,34.1,77366.0,71.43,28.57,2.51,1984.0,173500.0
92.97,4.08,1.88,0.09,6.05,2.78,35.51,13.17,44.0,142688.0,100.0,0.0,0.0,1991.0,271700.0
74.44,15.19,2.66,4.11,21.26,3.5,8.5,8.64,32.2,41833.0,75.7,24.3,0.0,1985.0,145000.0
57.15,38.25,1.11,1.68,14.31,3.03,17.84,4.39,34.0,69238.0,79.2,20.8,5.82,1983.0,162400.0
66.8,26.86,2.98,0.99,11.1,1.99,17.36,8.16,29.9,75167.0,78.16,21.84,17.0,1992.0,163200.0
90.47,6.41,1.01,0.41,14.74,5.05,27.18,8.62,39.1,85223.0,95.21,4.79,3.05,1997.0,247700.0
82.56,11.38,3.29,0.84,15.91,1.4,21.95,7.44,35.4,69590.0,77.46,22.54,12.48,1998.0,190600.0
68.53,28.71,0.55,0.33,35.84,4.14,6.29,8.34,36.6,77958.0,89.36,10.64,0.0,1997.0,265100.0
45.76,51.44,0.13,0.4,33.33,9.69,16.23,1.94,40.4,46058.0,74.45,25.55,2.93,1975.0,103900.0
45.26,51.54,0.59,0.67,17.25,1.27,5.65,4.05,36.0,37206.0,53.02,46.98,10.01,1982.0,147200.0
26.96,71.25,0.21,0.21,13.21,0.85,5.39,0.0,32.2,28839.0,75.15,24.85,24.29,1985.0,12500.0
33.76,64.01,0.76,0.47,13.83,6.45,16.53,9.79,32.4,64050.0,61.91,38.09,5.94,2001.0,168300.0
64.38,33.17,0.42,0.21,22.98,2.71,18.74,8.76,44.0,92434.0,92.9,7.1,21.18,1988.0,295600.0
81.43,15.84,0.14,0.29,22.82,3.82,9.58,3.46,36.2,88384.0,98.36,1.64,0.0,1983.0,233700.0
75.11,22.79,0.74,0.57,21.72,3.85,14.88,1.64,34.3,65833.0,80.65,19.35,6.42,1970.0,159500.0
57.43,40.24,0.82,0.17,13.63,8.68,44.26,24.4,34.3,83542.0,88.37,11.63,10.87,2001.0,219500.0
68.47,28.72,1.12,0.46,6.93,0.86,5.58,3.53,36.0,51544.0,90.69,9.31,7.25,1993.0,176600.0
75.11,22.79,0.74,0.57,27.83,3.05,25.85,10.92,32.7,75938.0,89.8,10.2,3.44,1989.0,197000.0
76.99,21.61,0.14,0.07,27.41,4.83,13.92,9.44,40.5,88438.0,94.27,5.73,8.23,1989.0,197100.0
54.98,43.92,0.0,0.08,52.03,4.22,13.18,0.0,42.4,68583.0,97.19,2.81,12.54,1983.0,97300.0
57.68,40.11,0.05,0.95,25.79,0.79,2.95,3.16,37.9,55368.0,86.74,13.26,15.22,1983.0,86700.0
90.15,8.21,0.27,0.18,23.36,3.56,4.01,3.19,42.2,66346.0,69.41,30.59,4.64,1993.0,210800.0
86.76,6.25,4.66,0.8,3.8,0.0,11.83,10.72,22.8,16066.0,28.47,71.53,15.43,1984.0,453800.0
95.12,1.93,1.67,0.0,7.45,0.0,17.46,30.55,41.7,82321.0,90.67,9.33,3.68,1962.0,298200.0
83.19,8.71,5.75,1.06,4.47,2.12,16.88,20.36,31.2,55625.0,28.61,71.39,12.52,1983.0,237500.0
86.62,7.92,3.79,0.56,5.02,1.23,30.88,15.5,27.5,42885.0,67.48,32.52,0.0,1968.0,420700.0
93.84,1.86,1.86,1.72,0.0,6.45,28.08,14.76,34.8,47386.0,69.07,30.93,9.75,1981.0,364500.0
89.8,2.23,6.49,0.3,9.44,1.67,33.18,27.85,46.4,96337.0,91.69,8.31,4.34,1978.0,278600.0
84.64,4.88,6.96,0.9,11.92,2.71,16.26,8.85,47.7,65313.0,71.19,28.81,15.58,1976.0,222200.0
90.01,5.12,3.07,0.64,4.8,1.66,15.62,26.57,53.3,91172.0,94.75,5.25,1.83,1975.0,251000.0
93.32,3.92,1.91,0.21,19.41,2.33,40.93,31.71,44.3,100000.0,81.01,18.99,3.26,1976.0,225000.0
83.81,11.32,3.15,0.0,6.88,0.72,25.21,20.49,45.3,68507.0,85.13,14.87,7.61,1964.0,234400.0
17.17,81.55,0.57,0.0,10.16,0.0,10.73,4.15,29.4,61071.0,54.23,45.77,34.15,1962.0,63000.0
75.26,20.34,0.96,0.96,8.5,3.63,21.11,19.1,37.6,27101.0,7.34,92.66,5.71,1956.0,221600.0
1.67,97.58,0.5,0.0,18.45,3.01,0.42,1.59,30.9,23375.0,65.39,34.61,11.19,1955.0,75200.0
2.27,95.68,0.22,0.65,25.95,3.78,4.86,1.08,34.8,25300.0,61.61,38.39,15.58,1952.0,59800.0
39.28,57.59,0.0,0.59,19.49,1.18,13.81,5.88,30.5,38359.0,45.77,54.23,19.74,1942.0,136300.0
3.0,95.09,0.68,0.41,16.23,3.96,8.87,5.18,35.6,33882.0,50.08,49.92,15.67,1957.0,85600.0
30.85,66.44,0.58,0.39,14.89,0.77,14.41,16.25,33.2,42500.0,46.93,53.07,21.23,1942.0,65700.0
17.11,80.06,1.83,0.08,18.95,4.43,2.6,4.13,36.1,19265.0,33.67,66.33,40.77,1950.0,100900.0
