white,black,asian,other,hs,assoc,bach,post-bach,age,income,owner occ,renter occ,vacancy,year built,house value
49.83,47.91,0.9,0.34,13.56,1.13,27.12,4.63,37.6,44595.0,11.57,88.43,36.24,1970.0,228800.0
91.67,5.13,1.65,0.27,14.93,2.84,24.54,10.99,33.6,58047.0,57.52,42.48,5.43,1952.0,192500.0
77.21,20.11,1.12,0.67,12.18,1.79,36.54,10.95,41.7,44479.0,78.75,21.25,14.01,1969.0,136500.0
52.77,36.2,2.23,5.84,8.67,1.93,9.4,8.49,33.9,43226.0,27.99,72.01,8.85,1968.0,147200.0
95.02,2.86,0.64,0.11,5.93,0.95,21.08,20.34,43.9,85233.0,97.13,2.87,10.59,1954.0,252900.0
97.22,1.22,1.04,0.0,9.04,0.0,25.39,38.43,46.5,165329.0,97.47,2.53,3.26,1957.0,331800.0
77.19,16.43,4.38,0.1,4.48,7.67,27.69,11.45,34.0,41625.0,40.84,59.16,12.52,1964.0,201900.0
85.24,9.13,4.54,0.29,17.69,1.9,24.12,14.07,48.1,65326.0,92.84,7.16,0.0,1970.0,221900.0
91.44,4.01,2.83,0.41,16.47,1.77,27.39,16.41,43.3,54797.0,87.58,12.42,7.06,1974.0,219800.0
24.28,72.58,0.0,0.82,20.6,5.32,6.28,1.5,31.4,25208.0,37.99,62.01,30.66,1956.0,82600.0
3.23,95.93,0.28,0.28,26.09,1.68,2.81,3.37,33.4,24153.0,40.04,59.96,25.14,1953.0,55000.0
92.53,5.37,0.26,0.39,3.67,1.18,16.78,28.18,38.8,100938.0,92.16,7.84,11.23,1949.0,198200.0
95.27,2.84,1.22,0.41,2.43,3.38,39.59,45.0,37.2,115306.0,82.45,17.55,10.9,1946.0,285000.0
94.66,2.36,0.24,1.49,4.48,1.1,24.59,18.93,36.8,80417.0,58.43,41.57,0.0,1951.0,266600.0
33.2,51.97,5.71,4.9,5.44,5.92,2.79,4.29,27.7,21118.0,15.89,84.11,33.17,1973.0,175000.0
11.63,84.32,1.73,1.4,21.86,0.0,5.12,6.02,36.4,15586.0,44.63,55.37,12.69,1965.0,214000.0
1.93,97.33,0.0,0.15,24.93,5.93,3.12,3.26,37.6,21143.0,42.36,57.64,13.94,1954.0,62400.0
0.63,99.06,0.0,0.16,24.29,0.0,2.19,3.61,33.6,19496.0,43.07,56.93,17.35,1953.0,60800.0
0.85,95.51,0.64,0.21,36.54,5.98,0.0,2.78,35.7,21563.0,41.31,58.69,17.12,1964.0,75500.0
74.71,14.91,6.15,1.1,3.48,0.0,13.81,10.27,22.0,12500.0,17.01,82.99,21.51,1972.0,144300.0
89.08,6.89,1.49,0.97,6.04,0.71,22.42,19.3,36.6,54107.0,59.95,40.05,16.45,1953.0,279100.0
93.65,2.06,1.8,0.39,2.72,0.96,24.88,20.28,33.6,62172.0,62.43,37.57,12.32,1957.0,299300.0
95.5,1.71,1.24,0.47,6.82,5.27,22.33,17.67,40.1,56023.0,72.14,27.86,10.5,1962.0,230700.0
95.31,1.13,2.44,0.65,6.77,5.05,28.7,25.97,45.4,131462.0,88.82,11.18,3.4,1971.0,363200.0
43.39,50.57,2.96,1.39,13.1,2.58,14.36,11.34,28.5,53060.0,18.49,81.51,23.23,1993.0,194200.0
61.86,35.53,0.62,0.0,17.27,1.99,19.25,7.83,39.1,75688.0,87.64,12.36,11.15,1958.0,281600.0
2.33,95.59,0.0,0.25,22.92,0.0,0.61,2.94,35.4,16101.0,62.2,37.8,12.01,1958.0,79700.0
29.69,12.78,52.16,2.78,0.75,0.5,14.37,21.98,25.6,35169.0,1.4,98.6,25.75,1961.0,
58.63,11.51,24.66,2.53,6.23,1.85,6.1,12.33,22.4,15603.0,7.38,92.62,26.47,1981.0,
81.84,7.77,7.01,0.66,0.66,0.61,1.64,7.26,19.6,16023.0,3.29,96.71,22.47,1969.0,
89.61,6.17,1.67,0.56,0.51,0.83,2.69,1.39,21.0,20132.0,8.82,91.18,33.16,1970.0,172900.0
0.9,97.69,0.26,0.13,15.51,0.0,3.72,3.97,23.8,24306.0,10.2,89.8,13.8,1964.0,177800.0
0.17,98.25,1.05,0.0,19.9,4.01,12.39,8.73,44.1,68889.0,92.76,7.24,0.0,1973.0,106100.0
1.46,96.66,0.09,0.28,5.41,0.0,1.51,0.47,20.3,24138.0,71.78,28.22,18.06,1970.0,77900.0
0.39,97.73,0.0,0.0,19.77,3.36,2.42,2.58,26.1,14142.0,32.75,67.25,9.15,1966.0,68500.0
0.4,99.11,0.0,0.0,20.69,0.0,4.85,0.0,20.4,18924.0,14.41,85.59,17.16,1970.0,89400.0
0.0,99.27,0.0,0.0,13.97,3.27,8.71,23.41,54.4,39375.0,96.08,3.92,18.14,1965.0,108000.0
0.13,98.62,0.0,0.0,38.11,3.77,2.01,1.01,29.1,15000.0,38.66,61.34,0.0,1963.0,79500.0
0.41,98.49,0.0,0.0,17.4,1.1,3.97,1.1,31.4,23355.0,36.83,63.17,27.84,1960.0,92400.0
0.39,99.22,0.0,0.0,16.42,1.27,12.32,2.05,39.8,23828.0,43.9,56.1,15.79,1965.0,69600.0
14.06,85.02,0.27,0.27,10.59,0.52,2.53,0.12,29.5,21964.0,45.23,54.77,15.33,1965.0,80400.0
42.1,54.72,1.18,0.71,27.36,2.48,10.38,4.83,37.8,61920.0,81.56,18.44,0.0,1961.0,124500.0
19.22,78.41,0.17,0.72,15.35,2.04,15.74,6.07,36.7,47045.0,76.71,23.29,10.25,1977.0,144200.0
18.6,79.37,0.76,0.08,7.95,2.28,5.41,1.61,30.8,40172.0,70.56,29.44,11.81,1975.0,112300.0
41.57,56.72,0.18,0.0,28.76,1.89,1.17,0.0,38.8,44858.0,74.31,25.69,2.43,1977.0,107200.0
34.69,62.53,1.1,0.52,24.54,6.55,10.9,9.28,41.6,83750.0,100.0,0.0,2.4,1977.0,155500.0
22.14,74.54,1.01,0.09,16.24,1.94,15.5,7.1,39.5,53083.0,75.04,24.96,8.96,1983.0,130000.0
0.81,97.83,0.0,0.54,24.25,0.0,2.98,15.18,45.0,31536.0,61.25,38.75,5.87,1967.0,98400.0
0.33,98.24,0.11,0.0,23.1,12.32,5.94,6.93,41.5,35268.0,75.11,24.89,21.26,1963.0,75000.0
0.0,98.08,0.19,0.0,10.08,0.0,4.7,2.59,23.8,21964.0,35.51,64.49,21.76,1994.0,80700.0
0.31,98.24,0.23,0.15,17.09,1.07,2.15,0.54,29.4,24476.0,71.53,28.47,16.18,1970.0,70500.0
